,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
106,60,90,Nd,106, ,2920.0,1, ,2 1,1,0.0024, ,9,eV,0.0000000000001900990479464107,0.0000000000005069307945237619, , , , , , , , , , , , , , ,2021-06-09
107,60,90,Nd,107, ,2925.0,4, ,4,24, , , , , , , , , , , , , , , , , , , , ,2021-06-09
108,60,90,Nd,108, ,2961.0,4, ,2,9, , , , , , , , , , , , , , , , , , , , ,2021-06-09
109,60,90,Nd,109, ,2993.0,4, ,1,2,0.100, ,11,eV,0.000000000000004562377150713857,0.00000000000004147615591558052, , , , , , , , , , , , , , ,2021-06-09
110,60,90,Nd,110, ,3039.0,4, ,4,25, , , , , , , , , , , , , , , , , , , , ,2021-06-09
111,60,90,Nd,111, ,3058.0,1, ,1,3,0.054, ,6,eV,0.000000000000008448846575396032,0.00000000000007603961917856428, , , , , , , , , , , , , , ,2021-06-09
112,60,90,Nd,112, ,3069.0,4, ,3,16, , , , , , , , , , , , , , , , , , , , ,2021-06-09
113,60,90,Nd,113, ,3085.0,4, ,4,26, , , , , , , , , , , , , , , , , , , , ,2021-06-09
114,60,90,Nd,114, ,3096.0,1, ,1,4,0.027, ,6,eV,0.000000000000016897693150792063,0.00000000000007603961917856428, , , , , , , , , , , , , , ,2021-06-09
115,60,90,Nd,115, ,3103.0,1, ,1,5,0.023, ,4,eV,0.000000000000019836422394408075,0.00000000000011405942876784643, , , , , , , , , , , , , , ,2021-06-09
116,60,90,Nd,116, ,3112.0,4, ,2,10, , , , , , , , , , , , , , , , , , , , ,2021-06-09
117,60,90,Nd,117, ,3157.0,4, ,2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-09
118,60,90,Nd,118, ,3160.0,1, ,1 2,2,0.0023, ,19,eV,0.00000000000019836422394408074,0.00000000000024012511319546615, , , , , , , , , , , , , , ,2021-06-09
119,60,90,Nd,119, ,3180.0,4, ,2,3, , , , , , , , , , , , , , , , , , , , ,2021-06-09
120,60,90,Nd,120, ,3186.0,1, ,1 2,3,0.0032, ,14,eV,0.00000000000014257428595980802,0.0000000000003258840821938469, , , , , , , , , , , , , , ,2021-06-09
121,60,90,Nd,121, ,3221.0,4, ,2,4,0.0075, ,18,eV,0.00000000000006083169534285143,0.00000000000025346539726188096, , , , , , , , , , , , , , ,2021-06-09
122,60,90,Nd,122, ,3244.0,1, ,2 1,2,0.0021, ,9,eV,0.00000000000021725605479589796,0.0000000000005069307945237619, , , , , , , , , , , , , , ,2021-06-09
123,60,90,Nd,123, ,3252.0,4, ,4,27, , , , , , , , , , , , , , , , , , , , ,2021-06-09
124,60,90,Nd,124, ,3279.6,2.1, ,16,1, , , , , , , , , , , , , , , , , , , , ,2021-06-09
125,60,90,Nd,125, ,3301.0,4, ,4,28, , , , , , , , , , , , , , , , , , , , ,2021-06-09
126,60,90,Nd,126, ,3315.0,4, ,3,17, , , , , , , , , , , , , , , , , , , , ,2021-06-09
127,60,90,Nd,127, ,3327.0, , ,1,4,0.0101, ,22,eV,0.0000000000000451720509971669,0.0000000000002073807795779026, , , , , , , , , , , , , , ,2021-06-09
128,60,90,Nd,128, ,3340.0,4, ,4,4, , , , , , , , , , , , , , , , , , , , ,2021-06-09
129,60,90,Nd,129, ,3342.0,1, ,1,5,0.015, ,3,eV,0.000000000000030415847671425714,0.00000000000015207923835712856, , , , , , , , , , , , , , ,2021-06-09
130,60,90,Nd,130, ,3375.0,1, ,1 2,4,0.0021, ,17,eV,0.00000000000021725605479589796,0.0000000000002683751265125798, , , , , , , , , , , , , , ,2021-06-09
131,60,90,Nd,131, ,3418.0,1, ,1,6,0.028, ,6,eV,0.000000000000016294204109692345,0.00000000000007603961917856428, , , , , , , , , , , , , , ,2021-06-09
132,60,90,Nd,132, ,3423.0,1, ,1 2,5,0.008, ,4,eV,0.00000000000005702971438392322,0.00000000000011405942876784643, , , , , , , , , , , , , , ,2021-06-09
