,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
148,12,12,Mg,148, ,13798.0,3, ,0, ,5, ,1,keV,9.12475430142771e-20,4.562377150713857e-19, , , , , , , , , ,0, , , , ,2021-06-10
149,12,12,Mg,149, ,13810.0,3, ,0, ,24, ,4,keV,1.90099047946411e-20,1.140594287678464e-19, , , , , , , , , , , , , , ,2021-06-10
150,12,12,Mg,150, ,13820.0,3, ,0, ,30, ,5,keV,1.52079238357129e-20,9.12475430142771e-20, , , , , , , , , ,0, , , , ,2021-06-10
151,12,12,Mg,151, ,13840.0,3, ,0, ,2.5, ,5,keV,1.824950860285543e-19,9.124754301427715e-19, , , , , , , , , , , , , , ,2021-06-10
152,12,12,Mg,152, ,13850.0,4, ,0, ,1,LT, ,keV,4.562377150713857e-19, , , , , , , , , , ,0, , , , ,2021-06-10
153,12,12,Mg,153, ,13879.0,3, ,0, ,2.0, ,2,keV,2.281188575356929e-19,2.2811885753569284e-18, , , , , , , , , ,0, , , , ,2021-06-10
154,12,12,Mg,154, ,13884.0,3, ,0, ,48, ,8,keV,9.5049523973205e-21,5.70297143839232e-20, , , , , , , , , ,0, , , , ,2021-06-10
155,12,12,Mg,155, ,13888.0,3, ,0, ,13, ,3,keV,3.50952088516451e-20,1.520792383571286e-19, , , , , , , , , ,0, , , , ,2021-06-10
156,12,12,Mg,156, ,13933.0,3, ,0, ,3.0, ,6,keV,1.520792383571286e-19,7.603961917856428e-19, , , , , , , , , ,0, , , , ,2021-06-10
157,12,12,Mg,157, ,13946.0,3, ,0, ,8.0, ,8,keV,5.70297143839232e-20,5.702971438392321e-19, , , , , , , , , ,0, , , , ,2021-06-10
158,12,12,Mg,158, ,13982.0,3, ,0, ,2,AP, ,keV,2.281188575356929e-19, , , , , , , , , , ,0, , , , ,2021-06-10
159,12,12,Mg,159, ,14017.0,3, ,0, ,8.5, ,9,keV,5.3675025302516e-20,5.069307945237619e-19, , , , , , , , , ,0, , , , ,2021-06-10
160,12,12,Mg,160, ,14024.0,3, ,0, ,6.5, ,7,keV,7.01904177032901e-20,6.517681643876939e-19, , , , , , , , , ,0, , , , ,2021-06-10
