,Z,N,symbol,idx,energy shift, energy [keV] , unc, ripl shift, jp,order, half_life, half-life operator,unc,unit, half_life [s], unc.1, decay mode, decay %, unc.2, decay mode.1, decay %.1, unc.3, decay mode.2, decay %.2, unc.4,isospin,magnetic dipole [mu N], unc.5, electric quadrupole [b]  , unc.6,Extraction_date
124,25,30,Mn,124, ,5085.0,5, , 3/2,13, , , , , , , , , , , , , , , , , , , , ,2021-06-10
125,25,30,Mn,125, ,5110.0,2, ,3/2,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
126,25,30,Mn,126, ,5120.3,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
127,25,30,Mn,127, ,5186.3,0.5, , 3/2,14, , , , , , , , , , , , , , , , , , , , ,2021-06-10
128,25,30,Mn,128, ,5233.3,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
129,25,30,Mn,129, ,5254.3,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
130,25,30,Mn,130, ,5260.0,5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
131,25,30,Mn,131, ,5304.2,0.7, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
132,25,30,Mn,132, ,5350.0,2, ,3/2,6, , , , , , , , , , , , , , , , , , , , ,2021-06-10
133,25,30,Mn,133, ,5365.3,1, , 3/2,15, , , , , , , , , , , , , , , , , , , , ,2021-06-10
134,25,30,Mn,134, ,5400.0,2, ,1/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
135,25,30,Mn,135, ,5418.1,0.4, ,19/2,1,0.14,LT, ,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
136,25,30,Mn,136, ,5423.5,0.6, ,19/2,1,0.14,LT, ,ps,0.00000000000014, , , , , , , , , , , , , , , ,2021-06-10
137,25,30,Mn,137, ,5463.3,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
138,25,30,Mn,138, ,5498.0,15, , 7/2,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
139,25,30,Mn,139, ,5500.0,2, , 5/2,1, , , , , , , , , , , , , , , , , , , , ,2021-06-10
140,25,30,Mn,140, ,5520.3,1, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
141,25,30,Mn,141, ,5960.0, , ,1/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
142,25,30,Mn,142, ,6069.0,5, ,3/2,5, , , , , , , , , , , , , , , , , , , , ,2021-06-10
143,25,30,Mn,143, ,6164.0,5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
144,25,30,Mn,144, ,7035.0,1, ,0,5,0.14,LT, ,fs,1.4e-16, , , , , , , , , , , , , , , ,2021-06-10
145,25,30,Mn,145, ,7230.0,2, ,5/2,2, , , , , , , , , , , , , , , , , , , , ,2021-06-10
146,25,30,Mn,146, ,7493.2,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
147,25,30,Mn,147, ,7553.6,0.5, ,21/2,1,0.14,LT, ,fs,1.4e-16, , , , , , , , , , , , , , , ,2021-06-10
148,25,30,Mn,148, ,9126.01,0.25, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
149,25,30,Mn,149, ,9146.8,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
150,25,30,Mn,150, ,9176.8,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
151,25,30,Mn,151, ,9181.0,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
152,25,30,Mn,152, ,9248.7,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
153,25,30,Mn,153, ,9263.2,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
154,25,30,Mn,154, ,9272.7,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
155,25,30,Mn,155, ,9292.7,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
156,25,30,Mn,156, ,9308.2,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
157,25,30,Mn,157, ,9326.4,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
158,25,30,Mn,158, ,9390.3,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
159,25,30,Mn,159, ,9404.8,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
160,25,30,Mn,160, ,9412.7,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
161,25,30,Mn,161, ,9427.5,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
162,25,30,Mn,162, ,9512.2,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
163,25,30,Mn,163, ,9531.54,0.23, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
164,25,30,Mn,164, ,9591.2,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
165,25,30,Mn,165, ,9607.3,0.3, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
166,25,30,Mn,166, ,9616.1,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
167,25,30,Mn,167, ,9677.44,0.22, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
168,25,30,Mn,168, ,9703.2,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
169,25,30,Mn,169, ,9717.8,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
170,25,30,Mn,170, ,9737.1,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
171,25,30,Mn,171, ,9743.7,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
172,25,30,Mn,172, ,9747.3,0.7, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
173,25,30,Mn,173, ,9750.1,0.4, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
174,25,30,Mn,174, ,9757.3,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
175,25,30,Mn,175, ,9767.8,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
176,25,30,Mn,176, ,9783.5,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
177,25,30,Mn,177, ,9809.0,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
178,25,30,Mn,178, ,9822.1,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
179,25,30,Mn,179, ,9822.7,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
180,25,30,Mn,180, ,9861.3,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
181,25,30,Mn,181, ,9869.0,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
182,25,30,Mn,182, ,9873.2,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
183,25,30,Mn,183, ,9888.0,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
184,25,30,Mn,184, ,9893.5,0.6, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
185,25,30,Mn,185, ,9905.94,0.25, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
186,25,30,Mn,186, ,9934.2,0.5, ,0, , , , , , , , , , , , , , , , , , , , , ,2021-06-10
